ORACLE_TABLE_ID,ORACLE_TABLE_NAME,ORACLE_TABLE_DESCRIPTION
51847.0,BOM_STANDARD_OPERATIONS,Standard operations
51842.0,CST_ACTIVITIES,Activity definition associated with activity costing
51841.0,CST_COST_TYPES,Stores cost type definitions
52634.0,CST_COST_UPDATES,Cost update history
52038.0,CST_ITEM_COSTS,Item cost summary
51843.0,CST_ITEM_COST_DETAILS,Item cost detail information
52013.0,ENG_CHANGE_PRIORITIES,Engineering change order priorities
52014.0,ENG_CHANGE_REASONS,Engineering change order reasons
50703.0,ENG_ENGINEERING_CHANGES,Engineering change orders
52023.0,ENG_REVISED_ITEMS,Pending and implemented revised items
67305.0,HR_LOCATIONS_ALL_TL,Translated location codes and descriptions.
67326.0,PER_ASSIGNMENT_STATUS_TYPES_TL,Predefined and user defined translated assignment status types.
51855.0,WIP_ACCOUNTING_CLASSES,Accounting classes
51380.0,WIP_DISCRETE_JOBS,Discrete jobs
51382.0,WIP_ENTITIES,Information common to jobs and schedules
51511.0,WIP_LINES,Production lines
51864.0,WIP_MOVE_TRANSACTIONS,Shop floor move transactions
51399.0,WIP_OPERATIONS,Operations necessary for jobs and schedules
51513.0,WIP_REPETITIVE_SCHEDULES,Repetitive schedules
51419.0,WIP_REQUIREMENT_OPERATIONS,Components required by jobs and schedules
52006.0,WIP_TRANSACTIONS,WIP resource transactions
52010.0,WIP_TRANSACTION_ACCOUNTS,Debits and credits due to resource transactions
53553.0,HR_COMMENTS,Central repository for comments.
53554.0,HR_LOCATIONS_ALL,Work location definitions.
53555.0,HR_ORGANIZATION_INFORMATION,"Additional attributes of an organization, dependent on class or organization information type."
53558.0,HR_ORG_INFO_TYPES_BY_CLASS,Defines organization information types for specific organization classifications.
53454.0,PER_ALL_ASSIGNMENTS_F,Employee and applicant assignment details.
54266.0,PER_PAY_BASES,Definitions of specific salary bases.
53506.0,PER_ALL_PEOPLE_F,"DateTracked table holding personal information for employees, applicants and other people."
57674.0,MRP_SR_ASSIGNMENTS,Sourcing assignments
57673.0,MRP_SR_SOURCE_ORG,Source organization for Sourcing Rules or Bills of distribution
57672.0,MRP_SR_RECEIPT_ORG,Receiving Organizations for Sourcing Rules or Bills of distribution
53388.0,PAY_ALL_PAYROLLS_F,Payroll group definitions.
80338.0,PA_PROJECT_PARTIES,Resources involved in a Specified Project
80361.0,PA_PROJECT_ASSIGNMENTS,PA_PROJECT_ASSIGNMENTS stores details of all Assignments for a project.
80362.0,PA_LOCATIONS,This table is used to store the locations that are used in Projects.  A new location is created when a new location is assigned to a project or a  team role.  There would be no way for user to enter new locations into this table
70543.0,HZ_CUST_ACCT_SITES_ALL,Stores all customer account sites across all operating units
70631.0,HZ_CUST_PROFILE_AMTS,Stores information about the credit limits specified for a customer's profile.
69383.0,HZ_PARTY_SITES,Links party to physical locations
67491.0,RA_TERMS_TL,Multi-lingual support (MLS) for Payment Terms
64081.0,HR_ALL_ORGANIZATION_UNITS,- Retrofitted
57666.0,MRP_SOURCING_RULES,Sourcing Rules or Bills of Distribution
57667.0,FND_DOCUMENTS_SHORT_TEXT,Short text documents
58378.0,FND_DOCUMENT_CATEGORIES_TL,Translation table for FND_DOCUMENT_CATEGORIES
78670.0,HZ_LOCATIONS,Physical addresses
78894.0,OKC_K_HEADERS_TL,"Translatable columns from OKC_K_HEADERS_B, as per MLS standards."
78898.0,OKC_K_VERS_NUMBERS,Indicates the current version of the contract as a document.
78900.0,OKC_K_LINES_TL,"Translatable columns from OKC_K_LINES_B, as per MLS standards."
78907.0,OKC_K_ITEMS,Stores item attributes for Contract Lines.
78925.0,OKC_SUBCLASSES_TL,"Translatable columns from OKC_SUBCLASSES_B, as per MLS standards."
78956.0,OKC_LINE_STYLES_TL,"Translatable columns from OKC_LINE_STYLES_B, as per MLS standards."
78962.0,OKC_STATUSES_B,User defined values that define a contract's status.
78968.0,OKC_STATUSES_TL,"Translatable columns from OKC_STATUSES_B, as per MLS standards."
78626.0,AP_INVOICE_DISTRIBUTIONS_ALL,Invoice distribution line information
78671.0,HZ_CUST_ACCOUNTS,Stores information about customer accounts.
78676.0,HZ_CUSTOMER_PROFILES,Credit information for customer accounts and customer account sites
78681.0,HZ_ORGANIZATION_PROFILES,Detailed information about organizations
78685.0,HZ_PARTY_SITE_USES,The way that a party uses a particular site or address
78736.0,OKC_K_LINES_B,"Deliverable ITEMS grouped into a logical set usually defined by unitary price, delivery or some other classification."
78739.0,OKC_LINE_STYLES_B,OKC_LINE_STYLES provides meta-data that governs how lines may be defined in a contract.
78702.0,CSD_REPAIRS,This table holds all the repair orders.
78703.0,CSD_REPAIR_TYPES_B,This table stores all the repair types.
78705.0,CSD_REPAIR_JOB_XREF,This table holds all the jobs submitted for a repair order. This is the table as a result of many-many relationship between CSD_REPAIRS and WIP_DISCRETE_JOBS.
87380.0,ENG_CHANGE_STATUSES_TL,Engineering Change Statuses  ( MLS Table)
87059.0,CE_BANK_ACCOUNTS,This table contains bank account information.  Each bank account must be affiliated with  one bank branch.
84271.0,CSI_I_VERSION_LABELS,Instance Version Labels.
84277.0,CSI_ITEM_INSTANCES_H,Item Instance History.
84278.0,CSI_ITEM_INSTANCES,Item Instance details.
84282.0,CSI_INSTANCE_STATUSES,Instance Statuses.
84296.0,CSI_SYSTEMS_TL,System Details (tanslation table).
84307.0,CSI_TRANSACTIONS,Installed Base transaction log.
88262.0,QA_PC_RESULTS_RELATIONSHIP,This table stores the relationship between two parent and child result rows.
88104.0,PER_GRADES_TL,Trnslated fields for per_grades
88105.0,PER_JOBS_TL,Translated  columns for per_jobs
86493.0,PA_PROJECT_ROLE_TYPES_TL,This table provides multi-lingual support (MLS) for project role types that you define in Oracle Projects. MLS enables you to store and print data that you define in multiple languages. The primary key for this table is PROJECT_ROLE_ID and 
88329.0,WSH_ITM_REQUEST_CONTROL,This table acts as the Request Interface table for ITM requests
88386.0,WSH_CARRIERS,Shipping Carrier Information
84951.0,BOM_COMPONENT_OPERATIONS,Additional operations for a Bill of Material Component
89257.0,BOM_STRUCTURES_B,Bills of material
89258.0,BOM_COMPONENTS_B,Bill of material components
89292.0,CSD_RO_SERVICE_CODES,Stores mapping between Repair Orders and Service codes.
89750.0,OKS_K_LINES_B,Service Contracts Line Attributes
113670.0,GL_LEDGERS,Ledger definition
113675.0,GL_SETS_OF_BOOKS_11I,Set of books definitions
89386.0,ENG_CHANGE_ORDER_TYPES_TL,MLS table for eng change order types
113166.0,AP_INVOICE_LINES_ALL,"AP_INVOICE_LINES_ALL contains records for invoice lines entered manually, generated automatically or imported from the Open Interface."
113177.0,AP_SUPPLIERS,AP_SUPPLIERS stores information about your supplier level attributes.
113179.0,AP_SUPPLIER_SITES_ALL,AP_SUPPLIER_SITES_ALL stores information about your supplier site level attributes.
113182.0,AP_SUPPLIER_CONTACTS,
89733.0,OKS_K_HEADERS_B,Service Contracts Header Attributes
90021.0,PA_RESOURCE_LISTS_TL,This table stores translated resource list information..
113528.0,EAM_WORK_ORDER_DETAILS,eAM Work Order Details
112933.0,OKS_INSTANCE_CONTRACTS_TEMP,
113649.0,GL_ACCESS_SETS,Data access set definitions
115952.0,CSD_FLOW_STATUSES_TL,Translation table for CSD_FLOW_STATUSES_B.
115974.0,CSD_RULES_B,
115975.0,CSD_RULES_TL,
113859.0,IBY_PMT_INSTR_USES_ALL,"""This table contains records of the relationship between payment instruments and Payer/Payee.  Data can be entered manually.  IBY_PMT_INSTR_USES_ALL table assigns payment instruments to external party payers and payees. This table is shared"
113856.0,IBY_EXT_BANK_ACCOUNTS,"""This table contains records of the external bank accounts entered manually. This table corresponds to the Banking details page of supplier or customer.  This table contains bank, branch, masking, encryption details of the external bank acc"
113855.0,IBY_ACCOUNT_OWNERS,This table contains records of the account owners of the external bank accounts entered manually.  This table corresponds to the Banking details page of supplier or customer. When an external bank account is created a row will be stored in 
117190.0,OKC_K_HEADERS_ALL_B,Stores header level attributes of a Contract. It groups all the lines and terms and conditions of a contract
