ORACLE_TABLE_ID,ORACLE_COL_NAME,ORACLE_COL_DESCRIPTION,ORACLE_DATATYPE
51922.0,EXCEPTION_SET_NAME,Name of the exception set,V
50218.0,CLEARED_CHARGES_AMOUNT,This is the bank charges amount calculated on clearing the payments. This is calculated in cash management.,N
50218.0,CLEARED_CHARGES_BASE_AMOUNT,This is the payment charges amount expressed in functional currency,N
50218.0,CLEARED_ERROR_AMOUNT,This is the payment error amount calculated on clearing the payments. This is calculated in cash management.,N
50218.0,CLEARED_ERROR_BASE_AMOUNT,This is the payment error amount expressed in functional currency,N
50218.0,EXTERNAL_BANK_ACCOUNT_ID,Unique internal identifier for the supplier bank account associated with payment. Foreign key to the IBY_EXT_BANK_ACCOUNTS table,N
50218.0,GLOBAL_ATTRIBUTE1,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE10,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE11,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE12,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE13,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE14,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE15,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE16,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE17,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE18,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE19,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE2,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE20,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE3,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE4,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE5,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE6,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE7,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE8,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE9,Reserved for country-specific functionality,V
50218.0,GLOBAL_ATTRIBUTE_CATEGORY,Reserved for country-specific functionality,V
50218.0,POSITIVE_PAY_STATUS_CODE,This is the status set by and used by Positive Pay Report to select records.,V
57858.0,WP_VERSION_FLAG,Indicates whether the budget version is used for work plan.,V
50671.0,AMOUNT,Budget Amout for temp labor standard PO lines,N
50671.0,BASE_UNIT_PRICE,Base Unit Price,N
50671.0,CONTRACTOR_FIRST_NAME,First name of the contingent worker,V
50671.0,CONTRACTOR_LAST_NAME,Last name of the contingent worker,V
50671.0,CONTRACT_ID,Standard POs only: Contract PA reference of a line. (References PO_HEADERS_ALL.po_header_id.),N
50671.0,FROM_LINE_LOCATION_ID,Unique identifier of the Price Break  (standard POs only) referenced by this line. (References PO_LINE_LOCATIONS_ALL.line_location_id.),N
50671.0,JOB_ID,Stores the HR Job identifier,N
50671.0,MANUAL_PRICE_CHANGE_FLAG,"Only for Standard PO lines referencing a Global Agreement, Contract, or Quotation: Y if the user has manually entered a price overriding the source document price, N or null otherwise.",V
50671.0,MATCHING_BASIS,Matching basis of the line type,V
50671.0,ORDER_TYPE_LOOKUP_CODE,Value basis of the line,V
50671.0,PURCHASE_BASIS,Purchase basis of the line type,V
50671.0,START_DATE,Assignment start Date for the contingent worker,D
50671.0,SUPPLIER_REF_NUMBER,Tracking code for a specific configuration of an item. Generated by a configuration engine maintained by suppliers.,V
50671.0,SVC_AMOUNT_NOTIF_SENT,"Temp Labor lines (i.e. PURCHASE_BASIS='TEMP LABOR') on Standard POs only: Y if an Amount Billed Approaching Budget reminder notification has been sent for this line, NULL otherwise.",V
50671.0,SVC_COMPLETION_NOTIF_SENT,"Temp Labor lines  (i.e. PURCHASE_BASIS='TEMP LABOR') on Standard POs only: Y if a Contractor Assignment Nearing Completion reminder notification has been sent for this line, NULL otherwise.",V
69741.0,CHANGE_SUMMARY,Description of changes made. This information is entered by the Buyer when submitting the document for approval and may be used in generating an amendment document.,V
69741.0,CONTERMS_ARTICLES_UPD_DATE,"Timestamp for the last update to Contract Clauses.  Applicable to Purchasing document of type Standard, Contract, Blanket",D
69741.0,CONTERMS_DELIV_UPD_DATE,"Timestamp for the last update to Contract Deliverables. Applicable to Purchasing document of type Standard, Contract, Blanket",D
69741.0,CONTERMS_EXIST_FLAG,"Indicates if contract terms template is attached to the purchasing document or not. Applicable to Purchasing document of type Standard, Contract, Blanket",V
69741.0,DOCUMENT_CREATION_METHOD,"Method in which the document got created - Autocreate, enter PO , etc...",V
69741.0,ENCUMBRANCE_REQUIRED_FLAG,Blanket or Global Agreement only: Indicates whether the document is to be encumbred or not,V
69741.0,PENDING_SIGNATURE_FLAG,"Indicates if the purchasing document is waiting for the signatures or not. Applicable to Purchasing document of type Standard, Contract, Blanket",V
69741.0,SHIPPING_CONTROL,Indicator of who is responsible for arranging transportation (References PO_LOOKUP_CODES.lookup_code with LOOKUP_TYPE='SHIPPING CONTROL'),V
69780.0,ACTIVE_SHOPPING_CART_FLAG,Set to 'Y' to indicate that this requisition should be shown to the  user when he/she logs into iProcurement.,V
69780.0,CONTRACTOR_REQUISITION_FLAG,Flag to indicate whether the requisition is a regular req or a temp labor req,V
69780.0,CONTRACTOR_STATUS,The status of the resource finalization process for temp labor reqs,V
69780.0,EMERGENCY_PO_ORG_ID,"The org_id of the operating unit from which the emergency_po_num is derived. This field completely qualifies the emergency_po_num field. (Starting FPJ, it is possible to create an emergency PO in another operating unit.)",N
69780.0,SUPPLIER_NOTIFIED_FLAG,Indicates if a notification is sent to the supplier,V
53977.0,CC_PRVDR_FLAG,"Flag that indicates that the project type (of project type class of CONTRACT) is defined for provider projects that bill intercompany invoices. For such project types, this flag is set to Y. For all others, it is set to N.",V
53977.0,OVERRIDE_ASSET_ASSIGNMENT_FLAG,Flag that indicates if the customer wants to override the asset assignment through the use of client extension,V
78676.0,INTEREST_CHARGES,Indicates if late charges are enabled,V
78676.0,PREF_FUNCTIONAL_CURRENCY,No longer used,V
78676.0,SEND_STATEMENTS,"Indicates if statements are sent to this customer. Y for statements are sent, N for no statements. Default value is Y.",V
78676.0,CREDIT_BALANCE_STATEMENTS,"Indicates if customers credit balances receive statements. Y for statements are sent, N for no statements. Default value is Y.",V
78676.0,CREDIT_HOLD,"Indicates if a credit hold exists on this account. Y for a credit hold is in place, N for no credit hold.",V
78676.0,PROFILE_CLASS_ID,Identifier of the customer profile class associated with this customer profile,N
78676.0,SITE_USE_ID,Identifier of the site use record associated with this customer profile. Foreign key to the HZ_CUST_SITE_USES_ALL table.,N
78676.0,CREDIT_RATING,List of values choices,V
78676.0,RISK_CODE,List of values choices,V
78676.0,STANDARD_TERMS,User-defined payment terms,N
78676.0,OVERRIDE_TERMS,"Indicates if user can override standard terms. Y for overrides are allowed, N for no overrides of standard credit terms",V
78676.0,DUNNING_LETTER_SET_ID,No Longer Used.,N
70631.0,GLOBAL_ATTRIBUTE15,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE16,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE17,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE18,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE19,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE2,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE20,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE3,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE4,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE5,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE6,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE7,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE8,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE9,Reserved for country-specific functionality,V
70631.0,GLOBAL_ATTRIBUTE_CATEGORY,Reserved for country-specific functionality,V
50218.0,MRC_BASE_AMOUNT,No Longer Used,V
50218.0,MRC_CLEARED_BASE_AMOUNT,No Longer Used,V
50218.0,MRC_CLEARED_CHARGES_BASE_AMT,No Longer Used,V
50218.0,MRC_CLEARED_ERROR_BASE_AMOUNT,No Longer Used,V
50218.0,MRC_CLEARED_EXCHANGE_DATE,No Longer Used,V
50218.0,MRC_CLEARED_EXCHANGE_RATE,No Longer Used,V
50218.0,MRC_CLEARED_EXCHANGE_RATE_TYPE,No Longer Used,V
50218.0,MRC_EXCHANGE_DATE,No Longer Used,V
50218.0,MRC_STAMP_DUTY_BASE_AMT,No Longer Used,V
50218.0,STAMP_DUTY_AMT,Stamp duty tax amount for globalization,N
57858.0,PROCESS_UPDATE_WBS_FLAG,This column indicates whether the budget version requires a planning elements refresh,V
53977.0,LABOR_INVOICE_FORMAT_ID,The identifier of the labor invoice format that defaults to contract projects with this project type,N
53977.0,LABOR_SCH_TYPE,The schedule type of labor expenditure items,V
53977.0,LABOR_STD_BILL_RATE_SCHDL,The labor standard bill rate schedule that defaults to contract projects with this project type,V
53977.0,LAST_UPDATED_BY,Standard Who Column,N
53977.0,LAST_UPDATE_DATE,Standard Who Column,D
53977.0,LAST_UPDATE_LOGIN,Standard Who Column,N
53977.0,NON_LABOR_BILL_RATE_ORG_ID,The identifier of the organization that owns the non-labor standard bill rate schedule,N
53977.0,NON_LABOR_INVOICE_FORMAT_ID,The identifier of the non-labor invoice format that defaults to contract projects with this project type,N
53977.0,NON_LABOR_SCH_TYPE,The schedule type of non-labor expenditure items,V
53977.0,NON_LABOR_STD_BILL_RATE_SCHDL,The non-labor standard bill rate schedule that defaults to contract projects with this project type,V
53977.0,PROJECT_TYPE,Implementation-defined name that uniquely identifies the project type,V
53977.0,REV_IND_RATE_SCH_ID,The identifier of default revenue burden schedule,N
53977.0,SERVICE_TYPE_CODE,The service type that defaults the task service type of projects with this project type,V
53977.0,START_DATE_ACTIVE,First effective date of the project type,D
84951.0,COMMON_COMPONENT_SEQUENCE_ID,Common Component Sequence Id,N
84951.0,PROGRAM_APPLICATION_ID,Concurrent WHO columns,N
84951.0,PROGRAM_ID,Concurrent WHO columns,N
84951.0,PROGRAM_UPDATE_DATE,Concurrent WHO columns,D
84951.0,REQUEST_ID,Concurrent WHO columns,N
52586.0,ADDRESS_ID,Address identifier,N
52586.0,AREA_CODE,Area code,V
52586.0,ATTRIBUTE1,Descriptive Flexfield Segment column,V
52586.0,ATTRIBUTE10,Descriptive Flexfield Segment column,V
52586.0,ATTRIBUTE11,Descriptive Flexfield Segment column,V
52586.0,ATTRIBUTE12,Descriptive Flexfield Segment column,V
52586.0,ATTRIBUTE13,Descriptive Flexfield Segment column,V
52586.0,ATTRIBUTE14,Descriptive Flexfield Segment column,V
52586.0,ATTRIBUTE15,Descriptive Flexfield Segment column,V
52586.0,ATTRIBUTE2,Descriptive Flexfield Segment column,V
52586.0,ATTRIBUTE3,Descriptive Flexfield Segment column,V
52586.0,ATTRIBUTE4,Descriptive Flexfield Segment column,V
52586.0,ATTRIBUTE5,Descriptive Flexfield Segment column,V
52586.0,ATTRIBUTE6,Descriptive Flexfield Segment column,V
52586.0,ATTRIBUTE7,Descriptive Flexfield Segment column,V
52586.0,ATTRIBUTE8,Descriptive Flexfield Segment column,V
52586.0,ATTRIBUTE9,Descriptive Flexfield Segment column,V
52586.0,ATTRIBUTE_CATEGORY,Descriptive Flexfield Structure Defining column,V
52586.0,CONTACT_ID,Contact identifier,N
52586.0,CREATED_BY,Standard Who column,N
52586.0,CREATION_DATE,Standard Who column,D
52586.0,CUSTOMER_ID,Customer identifier,N
52586.0,EXTENSION,Telephone number extension,V
52586.0,LAST_UPDATED_BY,Standard Who column,N
52586.0,LAST_UPDATE_DATE,Standard Who column,D
52586.0,LAST_UPDATE_LOGIN,Standard Who column,N
52586.0,ORIG_SYSTEM_REFERENCE,Telephone identifier from foreign system,V
51855.0,APPLICATION_ID,Application identifier,N
51855.0,COLUMN_NAME,Column name,V
51855.0,COLUMN_SEQUENCE,Sequence of the column in the view,N
51855.0,CREATED_BY,Standard Who column,N
51855.0,CREATION_DATE,Standard Who column,D
51855.0,LAST_UPDATED_BY,Standard Who column,N
51855.0,LAST_UPDATE_DATE,Standard Who column,D
51855.0,LAST_UPDATE_LOGIN,Standard Who column,N
51855.0,VIEW_ID,View identifier,N
78671.0,WH_UPDATE_DATE,No longer used,D
78671.0,WRITE_OFF_ADJUSTMENT_AMOUNT,No longer used,N
78671.0,WRITE_OFF_PAYMENT_AMOUNT,No longer used,N
78670.0,OVERSEAS_ADDRESS_FLAG,No longer used,V
78670.0,POSTAL_PLUS4_CODE,Four digit extension to the United States Postal ZIP code.,V
78670.0,RURAL_ROUTE_NUMBER,No longer used,V
78670.0,RURAL_ROUTE_TYPE,No longer used,V
78670.0,STREET_NUMBER,No longer used,V
78670.0,STREET_SUFFIX,No longer used,V
78670.0,VALIDATED_FLAG,"Indicates if the location was validated. Y for validated, N for unvalidated.",V
57858.0,ACTUAL_AMTS_THRU_PERIOD,This column stores the PA/GL period to which the actual amounts have been copied to the plan version by the amount generation process.,V
57858.0,CURRENT_PLANNING_PERIOD,Indicates anchoring period for a budget versions.,V
57858.0,EQUIPMENT_QUANTITY,The number of equipment hours budgeted for the project. This is a denormalized column which sums the quantities for all equipment resources budgeted.,N
57858.0,LAST_AMT_GEN_DATE,This column stores the amount generated date for the plan version.,D
57858.0,OBJECT_ID,Indicates the source (Intended for future use),N
57858.0,OBJECT_TYPE_CODE,The source object for the budget. Or forecast (Intended for future use),V
57858.0,PERIOD_MASK_ID,The identifier of the period mask that is used for the plan version,N
57858.0,PJI_SUMMARIZED_FLAG,Indicates whether the budget version has been extracted for reporting summary.,V
57858.0,PRIMARY_COST_FORECAST_FLAG,Indicates if the plan type is a primary cost forecast,V
57858.0,PRIMARY_REV_FORECAST_FLAG,Indicates if the plan type is a primary revenue forecast,V
57858.0,RBS_STRUCT_VERSION_ID,The resource breakdown structure used for the plan version,N
57858.0,REV_PARTIALLY_IMPL_FLAG,Indicates if change order impact has been partially implemented. This column is maintained for the change order version.,V
50703.0,ORIGINAL_SYSTEM_REFERENCE,Original system that data for the current record has come from,V
53977.0,ADW_NOTIFY_FLAG,The flag that indicates whether this row needs to be sent to the interface table or not. This column is required for Oracle Project Analysis Collection Pack.,V
53977.0,BILLING_CYCLE_ID,The default identifier of the billing cycle applicable to the projects.,N
53977.0,BILLING_OFFSET,The default number of days after the project start date when the first invoice is created for the project.,N
53977.0,BURDEN_ACCOUNT_FLAG,Flag indicates whether to account burden amount on separate project and task,V
53977.0,BURDEN_AMT_DISPLAY_METHOD,Flag indicates to display Burden amount on same transaction or display it as a  separate transaction,V
53977.0,BURDEN_SUM_DEST_PROJECT_ID,"Task Id for storing burden amount, if displayed on separate task",N
53977.0,BURDEN_SUM_DEST_TASK_ID,"If burden_account_flag=Y,Task_id, for creating summarized burden items on separate project/task",N
53977.0,DEF_START_PROJ_STATUS_CODE,Indicates the default starting project status for this project type,V
53977.0,ENABLE_BUDGET_WF_FLAG,This column indicates if a budget approval workflow can be enabled for this project type.,V
