SAP_TABLE_NAME,SAP_COL_NAME,ROLLNAME,SAP_DATATYPE,SAP_COL_DESCRIPTION
BSEG,FWZUZ,FWZUZ,CURR,Additional Tax in Document Currency
BSEG,GBETR,GBETR,CURR,Hedged Amount in Foreign Currency
BSEG,GEBER,BP_GEBER,CHAR,Fund
BSEG,GITYP,J_1ADTYP_D,CHAR,Distribution Type for Employment Tax
BSEG,GJAHR,GJAHR,NUMC,Fiscal Year
BSEG,GLUPM,GLUPM,CHAR,Update Method for FM - FI-CA Integration
BSEG,GMVKZ,FM_GMVKZ,CHAR,Item is in Execution
BSEG,GRANT_NBR,GM_GRANT_NBR,CHAR,Grant
BSEG,GRICD,J_1AGICD_D,CHAR,Activity Code for Gross Income Tax
BSEG,GRIRG,REGIO,CHAR,"Region (State, Province, County)"
BSEG,GSBER,GSBER,CHAR,Business Area
BSEG,GVTYP,GVTYP,CHAR,P&L statement account type
BSEG,HBKID,HBKID,CHAR,Short Key for a House Bank
BSEG,HKONT,HKONT,CHAR,General Ledger Account
BSEG,HKTID,HKTID,CHAR,ID for account details
BSEG,HRKFT,HRKFT,CHAR,Origin Group as Subdivision of Cost Element
BSEG,HWBAS,HWBAS,CURR,Tax Base Amount in Local Currency
BSEG,HWMET,HWMET,CHAR,Method with Which the Local Currency Amount Was Determined
BSEG,HWZUZ,HWZUZ,CURR,Provision Amount in Local Currency
BSEG,HZUON,HZUON,CHAR,Assignment Number for Special G/L Accounts
BSEG,IDXSP,J_1AINDXSP,CHAR,Inflation Index
BSEG,IMKEY,IMKEY,CHAR,Internal Key for Real Estate Object
BSEG,INTRENO,VVINTRENO,CHAR,Internal Real Estate Master Data Code
BSEG,KBLNR,KBLNR_FI,CHAR,Document Number for Earmarked Funds
BSEG,KBLPOS,KBLPOS,NUMC,Earmarked Funds: Document Item
BSEG,KIDNO,KIDNO,CHAR,Payment Reference
BSEG,KKBER,KKBER,CHAR,Credit control area
BSEG,KLIBT,KLIBT,CURR,Credit Control Amount
BSEG,KOART,KOART,CHAR,Account Type
BSEG,KOKRS,KOKRS,CHAR,Controlling Area
BSEG,KONTL,KONTL_FI,CHAR,Acct assignment string for industry-specific acct assignmnts
BSEG,KONTT,KONTT_FI,CHAR,Account Assignment Category for Industry Solution
BSEG,KOSTL,KOSTL,CHAR,Cost Center
BSEG,KSTAR,KSTAR,CHAR,Cost Element
BSEG,KSTRG,KSTRG,CHAR,Cost Object
BSEG,KTOSL,KTOSL,CHAR,Transaction Key
BSEG,KUNNR,KUNNR,CHAR,Customer Number 1
BSEG,KURSR,KURSR,DEC,Hedged Exchange Rate
BSEG,KZBTR,KZBTR_FI,CURR,Original Reduction Amount in Local Currency
BSEG,LANDL,LANDL,CHAR,Supplying Country
BSEG,LIFNR,LIFNR,CHAR,Account Number of Vendor or Creditor
BSEG,LINFV,J_1ALINFVL,DATS,Last Adjustment Date
BSEG,LNRAN,LNRAN,NUMC,Sequence number of asset line items in fiscal year
BSEG,LOKKT,ALTKT_SKB1,CHAR,Alternative account number in company code
BSEG,LSTAR,LSTAR,CHAR,Activity Type
BSEG,LZBKZ,LZBKZ,CHAR,State Central Bank Indicator
BSEG,MABER,MABER,CHAR,Dunning Area
BSEG,MADAT,MADAT,DATS,Last dunned on
BSEG,MANDT,MANDT,CLNT,Client
BSEG,MANSP,MANSP,CHAR,Dunning block
BSEG,MANST,MAHNS_D,NUMC,Dunning level
BSEG,MATNR,MATNR,CHAR,Material Number
BSEG,MEASURE,FM_MEASURE,CHAR,Funded Program
BSEG,MEINS,MEINS,UNIT,Base Unit of Measure
BSEG,MENGE,MENGE_D,QUAN,Quantity
BSEG,MSCHL,MSCHL,CHAR,Dunning key
BSEG,MWART,MWART,CHAR,Tax Type
BSEG,MWSK1,MWSKX,CHAR,Tax Code for Distribution
BSEG,MWSK2,MWSKX,CHAR,Tax Code for Distribution
BSEG,MWSK3,MWSKX,CHAR,Tax Code for Distribution
BSEG,MWSKZ,MWSKZ,CHAR,Sales Tax Code
BSEG,MWST2,MWST2,CURR,Tax Amount in Second Local Currency
BSEG,MWST3,MWST3,CURR,Tax Amount in Third Local Currency
BSEG,MWSTS,MWSTS,CURR,Tax Amount in Local Currency
BSEG,NAVFW,NAVFW,CURR,Non-Deductible Input Tax (in Document Currency)
BSEG,NAVH2,NAVH2,CURR,Non-Deductible Input Tax in Second Local Currency
BSEG,NAVH3,NAVH3,CURR,Non-Deductible Input Tax in Third Local Currency
BSEG,NAVHW,NAVHW,CURR,Non-Deductible Input Tax (in Local Currency)
BSEG,NEBTR,NEBTR,CURR,Net Payment Amount
BSEG,NPLNR,NPLNR,CHAR,Network Number for Account Assignment
BSEG,NPREI,NPREI,CURR,New price
BSEG,OBZEI,OBZEI,NUMC,Number of Line Item in Original Document
BSEG,PAOBJNR,RKEOBJNR,NUMC,Profitability Segment Number (CO-PA)
BSEG,PARGB,PARGB,CHAR,Trading partner's business area
BSEG,PASUBNR,RKESUBNR,NUMC,Profitability segment changes (CO-PA)
BSEG,PEINH,PEINH,DEC,Price Unit
BSEG,PENDAYS,PDAYS,INT4,Number of days for penalty charge calculation
BSEG,PENFC,PENALTY,CURR,Penalty charge amount in document currency
BSEG,PENLC1,PENALTY1,CURR,Penalty charge amount in first local currency
BSEG,PENLC2,PENALTY2,CURR,Penalty charge amount in second local currency
BSEG,PENLC3,PENALTY3,CURR,Penalty Charge Amount in Third Local Currency
BSEG,PENRC,PENRC,CHAR,Reason for late payment
BSEG,PERNR,PERNR_D,NUMC,Personnel Number
BSEG,PEROP_BEG,FM_PEROP_FI_LOW,DATS,Billing Period of Performance Start Date
BSEG,PEROP_END,FM_PEROP_FI_HIGH,DATS,Billing Period of Performance End Date
BSEG,PFKBER,SFKBER,CHAR,Partner Functional Area
ADRT,ADDRNUMBER,AD_ADDRNUM,CHAR,Address number
ADRT,CLIENT,MANDT,CLNT,Client
ADRT,COMM_TYPE,AD_COMM,CHAR,Communication Method (Key) (Business Address Services)
ADRT,CONSNUMBER,AD_CONSNUM,NUMC,Sequence number
ADRT,DATE_FROM,AD_DATE_FR,DATS,Valid-from date - in current Release only 00010101 possible
ADRT,LANGU,SPRAS,LANG,Language Key
ADRT,PERSNUMBER,AD_PERSNUM,CHAR,Person number
ADRT,REMARK,AD_REMARK2,CHAR,Communication link notes
EKKO,.INCLU--AP, , ,
EKKO,.INCLU--AP, , ,
EKKO,.INCLUDE, , ,
EKKO,.INCLUDE, , ,
EKKO,.INCLUDE, , ,
EKKO,.INCLUDE, , ,
EKKO,.INCLUDE, , ,
EKKO,.INCLUDE, , ,
EKKO,.INCLUDE, , ,
EKKO,.INCLUDE, , ,
EKKO,.INCLUDE, , ,
EKKO,ABGRU,ABDUM,CHAR,Field Not Used
EKKO,ABSGR,ABSGR,NUMC,Reason for Cancellation
EKKO,ADDNR,ADDI_BELNR,CHAR,Document number for additional
EKKO,ADRNR,AD_ADDRNUM,CHAR,Address number
EKKO,AEDAT,ERDAT,DATS,Date on Which Record Was Created
EKKO,ANGDT,ANGAB,DATS,Deadline for Submission of Bid/Quotation
EKKO,ANGNR,ANGNR,CHAR,Quotation Number
EKKO,AUREL_ALLOW,WRF_POHF_AUREL_ALLOW,CHAR,Take Account of Alloc. Table Relevance
EKKO,AUSNR,AUSCH,CHAR,Bid invitation number
EKKO,AUTLF,KMPLF,CHAR,Complete Delivery Stipulated for Each Purchase Order
EKKO,BEDAT,EBDAT,DATS,Purchasing Document Date
EKKO,BNDDT,EBNDT,DATS,Binding Period for Quotation
EKKO,BSAKZ,BSAKZ,CHAR,Control indicator for purchasing document type
EKKO,BSART,ESART,CHAR,Purchasing Document Type
EKKO,BSTYP,EBSTYP,CHAR,Purchasing Document Category
EKKO,BUDG_TYPE,WRF_BUDG_TYPE,CHAR,Budget Type
EKKO,BUKRS,BUKRS,CHAR,Company Code
EKKO,BWBDT,BWBDT,DATS,Closing Date for Applications
EKKO,CHECK_TYPE,WRF_BUDG_OTB_CHECK,CHAR,Type of OTB Check
EKKO,CONTRACT_ALLOW,WRF_POHF_CONTRACT_ALLOW,CHAR,Take Account of Contracts
EKKO,CON_DISTR_LEV,WRF_POTB_DISTRIB_LEVEL,CHAR,Distribution Using Target Value or Item Data
EKKO,CON_OTB_REQ,WRF_POTB_CON_REQ,CHAR,OTB-Relevant Contract
EKKO,CON_PREBOOK_LEV,WRF_POTB_PREBOOK_LEVEL,CHAR,OTB Indicator Level for Contracts
EKKO,DELPER_ALLOW,WRF_POHF_DELPER_ALLOW,CHAR,Take Account of Dlvy Period
EKKO,EBELN,EBELN,CHAR,Purchasing Document Number
EKKO,EINDT_ALLOW,WRF_POHF_EINDT_ALLOW,CHAR,Take Account of Delivery Date
EKKO,EKGRP,BKGRP,CHAR,Purchasing Group
EKKO,EKGRP_ALLOW,WRF_POHF_EKGRP_ALLOW,CHAR,Take Account of Purch. Group
EKKO,EKORG,EKORG,CHAR,Purchasing Organization
EKKO,EQ_EINDT,WRF_POHF_EQ_EINDT,DATS,Delivery Date Header: All Items Have Same Delivery Date
EKKO,EQ_WERKS,WRF_POHF_EQ_EWERK,CHAR,Plant Header: All Items Have Same Receiving Plant
EKKO,ERNAM,ERNAM,CHAR,Name of Person who Created the Object
EKKO,EXNUM,EXNUM,CHAR,Number of foreign trade data in MM and SD documents
EKKO,FIXPO,WRF_POHF_FIXPO,CHAR,Firm Deal Indicator
EKKO,FIXPO_ALLOW,WRF_POHF_FIXPO_ALLOW,CHAR,Take Account of Fixed-Date Purchases Indicator
EKKO,FORCE_CNT,/ISDFPS/FORCE_CNT,NUMC,Internal (Version) Counter
EKKO,FORCE_ID,/ISDFPS/FORCE_ID,CHAR,Internal Key for Force Element
EKKO,FRGGR,FRGGR,CHAR,Release group
EKKO,FRGKE,FRGKE,CHAR,Release Indicator: Purchasing Document
EKKO,FRGRL,FRGRL,CHAR,Release Not Yet Completely Effected
EKKO,FRGSX,FRGSX,CHAR,Release Strategy
EKKO,FRGZU,FRGZU,CHAR,Release status
EKKO,GWLDT,MM_GWLDT,DATS,Warranty Date
EKKO,IHRAN,IHRAN,DATS,Quotation Submission Date
EKKO,IHREZ,IHREZ,CHAR,Your Reference
EKKO,INCO1,INCO1,CHAR,Incoterms (Part 1)
EKKO,INCO2,INCO2,CHAR,Incoterms (Part 2)
EKKO,KALSM,KALSM_D,CHAR,"Procedure (Pricing, Output Control, Acct. Det., Costing,...)"
EKKO,KDATB,KDATB,DATS,Start of Validity Period
EKKO,KDATE,KDATE,DATS,End of Validity Period
EKKO,KEY_ID,WRF_BUDG_KEY_ID,NUMC,Unique Number of Budget
EKKO,KEY_ID_ALLOW,WRF_POHF_KEY_ID_ALLOW,CHAR,Consider Budget
EKKO,KNUMV,KNUMV,CHAR,Number of the document condition
EKKO,KONNR,KONNR,CHAR,Number of Principal Purchase Agreement
EKKO,KORNR,KORNR,CHAR,Correction of miscellaneous provisions
EKKO,KTWRT,KTWRT,CURR,Cumulative Planned Value
EKKO,KUFIX,KUFIX,CHAR,Indicator: Fixing of Exchange Rate
EKKO,KUNNR,KUNNR,CHAR,Customer Number 1
EKKO,LANDS,LAND1_STML,CHAR,Country for Tax Return
EKKO,LBLIF,LBLIF,CHAR,Field not used
EKKO,LIFNR,ELIFN,CHAR,Vendor Account Number
EKKO,LIFRE,LIFRE,CHAR,Different Invoicing Party
EKKO,LLIEF,LLIEF,CHAR,Supplying Vendor
EKKO,LOEKZ,ELOEK,CHAR,Deletion Indicator in Purchasing Document
EKKO,LOGSY,LOGSYSTEM,CHAR,Logical System
EKKO,LPHIS,LPHIS,CHAR,Indicator for scheduling agreement release documentation
EKKO,LPONR,LPONR,NUMC,Last Item Number
EKKO,MANDT,MANDT,CLNT,Client
EKKO,MEMORY,MEMER,CHAR,Purchase order not yet complete
EKKO,OTB_COND_TYPE,WRF_POTB_COND_TYPE,CHAR,OTB Condition Type
EKKO,OTB_CURR,WRF_POTB_CURRENCY,CUKY,OTB Currency
EKKO,OTB_LEVEL,WRF_POTB_CHECK_LEVEL,CHAR,OTB Check Level
EKKO,OTB_REASON,WRF_POTB_STATUS_REASON,CHAR,Reason Indicator for OTB Check Status
EKKO,OTB_RES_VALUE,WRF_POTB_RES_VALUE,CURR,Reserved Budget for OTB-Relevant Purchasing Document
EKKO,OTB_SPEC_VALUE,WRF_POTB_SPECIAL_VALUE,CURR,Special Release Budget
EKKO,OTB_STATUS,WRF_POTB_STATUS,CHAR,OTB Check Status
EKKO,OTB_VALUE,WRF_POTB_VALUE,CURR,Required Budget
EKKO,PINCR,PINCR,NUMC,Item Number Interval
EKKO,POHF_TYPE,WRF_POHF_TYPE,CHAR,Document for Seasonal Purchase Order Processing
EKKO,PROCSTAT,MEPROCSTATE,CHAR,Purchasing document processing state
EKKO,PSTYP_ALLOW,WRF_POHF_PSTYP_ALLOW,CHAR,Take Account of Item Categories
EKKO,REASON_CODE,/SAPPSPRO/_GR_REASON_CODE,CHAR,Goods Receipt Reason Code
EKKO,RELOC_ID,/ISDFPS/RELOC_ID,CHAR,Relocation ID
EKKO,RELOC_SEQ_ID,/ISDFPS/RELOC_SEQ_ID,CHAR,Relocation Step ID
EKKO,RESWK,RESWK,CHAR,Supplying (Issuing) Plant in Stock Transport Order
EKKO,REVNO,REVNO,CHAR,Version number in Purchasing
EKKO,RLWRT,RLWRT,CURR,Total value at time of release
EKKO,SCMPROC,SCMPROC,CHAR,SCM Process That Created the Purchase Order
EKKO,SPRAS,SPRAS,LANG,Language Key
EKKO,SPR_RSN_PROFILE,WRF_POTB_SPR_RSN_PROFILE,CHAR,Reason Profile for OTB Special Release
EKKO,STAFO,STAFO,CHAR,Update group for statistics update
EKKO,STAKO,STAKO,CHAR,Document with time-dependent conditions
EKKO,STATU,ESTAK,CHAR,Status of Purchasing Document
EKKO,STCEG,STCEG,CHAR,VAT Registration Number
EKKO,STCEG_L,STCEG_L,CHAR,Country of Sales Tax ID Number
EKKO,SUBMI,SUBMI,CHAR,Collective Number
EKKO,TELF1,TELF0,CHAR,Vendor's Telephone Number
EKKO,UNSEZ,UNSEZ,CHAR,Our Reference
EKKO,UPINC,UPINC,NUMC,Item Number Interval for Subitems
EKKO,VERKF,EVERK,CHAR,Responsible Salesperson at Vendor's Office
EKKO,WAERS,WAERS,CUKY,Currency Key
EKKO,WEAKT,WEAKT,CHAR,Indicator: Goods Receipt Message
EKKO,WERKS_ALLOW,WRF_POHF_WERKS_ALLOW,CHAR,Take Account of Plants
EKKO,WKURS,WKURS,DEC,Exchange Rate
EKKO,ZBD1P,DZBD1P,DEC,Cash Discount Percentage 1
EKKO,ZBD1T,DZBDET,DEC,Cash (Prompt Payment) Discount Days
EKKO,ZBD2P,DZBD2P,DEC,Cash Discount Percentage 2
EKKO,ZBD2T,DZBDET,DEC,Cash (Prompt Payment) Discount Days
EKKO,ZBD3T,DZBDET,DEC,Cash (Prompt Payment) Discount Days
EKKO,ZTERM,DZTERM,CHAR,Terms of Payment Key
EKPO,.INCLU--AP, , ,
EKPO,.INCLU--AP, , ,
EKPO,.INCLU--AP, , ,
EKPO,.INCLU--AP, , ,
EKPO,.INCLU--AP, , ,
EKPO,.INCLUDE, , ,
EKPO,.INCLUDE, , ,
EKPO,.INCLUDE, , ,
EKPO,.INCLUDE, , ,
EKPO,.INCLUDE, , ,
EKPO,.INCLUDE, , ,
EKPO,.INCLUDE, , ,
EKPO,.INCLUDE, , ,
EKPO,/BEV1/NEDEPFREE,/BEV1/NEDEPFREE,CHAR,Indicator: Dependent Items Are Free of Charge
EKPO,/BEV1/NEGEN_ITEM,/BEV1/NEGEN_ITEM_FLAG,CHAR,Indicator: Item Is Generated
EKPO,/BEV1/NESTRUCCAT,/BEV1/NESTRUC_CAT,CHAR,Structure Category for Material Relationship
EKPO,ABDAT,ABDAT,DATS,Reconciliation Date for Agreed Cumulative Quantity
EKPO,ABELN,ABELN,CHAR,Allocation Table Number
EKPO,ABELP,ABELP,NUMC,Item number of allocation table
EKPO,ABFTZ,ABFTZ,QUAN,Agreed Cumulative Quantity
EKPO,ABMNG,NORAM,QUAN,Standard release order quantity
EKPO,ABSKZ,ABSKZ,CHAR,Rejection Indicator
EKPO,ABUEB,ABUEB,CHAR,Release Creation Profile
EKPO,ADRN2,ADRN2,CHAR,Number of delivery address
EKPO,ADRNR,ADRNR_MM,CHAR,Manual address number in purchasing document item
EKPO,ADVCODE,/ISDFPS/ADVCODE,CHAR,Advice Code
EKPO,AEDAT,PAEDT,DATS,Purchasing Document Item Change Date
EKPO,AFNAM,AFNAM,CHAR,Name of Requisitioner/Requester
EKPO,AGDAT,ANGAB,DATS,Deadline for Submission of Bid/Quotation
EKPO,AGMEM,AGMEM,CHAR,Internal Comment on Quotation
EKPO,AKTNR,WAKTION,CHAR,Promotion
EKPO,ANFNR,ANFNR,CHAR,RFQ Number
EKPO,ANFPS,ANFPS,NUMC,Item Number of RFQ
EKPO,ANZPU,ANZPU,QUAN,Number of Points
EKPO,APOMS,APOMS,CHAR,APO as Planning System
EKPO,ARSNR,ARSNR,NUMC,Settlement reservation number
EKPO,ARSPS,ARSPS,NUMC,Item number of the settlement reservation
EKPO,ATTYP,ATTYP,CHAR,Material Category
EKPO,AUREL,AUREL,CHAR,Relevant to Allocation Table
EKPO,BANFN,BANFN,CHAR,Purchase Requisition Number
EKPO,BEDNR,BEDNR,CHAR,Requirement Tracking Number
EKPO,BERID,BERID,CHAR,MRP Area
EKPO,BNFPO,BNFPO,NUMC,Item Number of Purchase Requisition
EKPO,BONBA,BONBA,CURR,Rebate basis 1
EKPO,BONUS,EBONU,CHAR,Settlement Group 1 (Purchasing)
EKPO,BPRME,BBPRM,UNIT,Order Price Unit (Purchasing)
EKPO,BPUMN,BPUMN,DEC,Denominator for Conv. of Order Price Unit into Order Unit
EKPO,BPUMZ,BPUMZ,DEC,Numerator for Conversion of Order Price Unit into Order Unit
EKPO,BRGEW,BRGEW,QUAN,Gross Weight
EKPO,BRTWR,BBWERT,CURR,Gross order value in PO currency
EKPO,BSGRU,BSGRU,CHAR,Reason for Ordering
EKPO,BSTAE,BSTAE,CHAR,Confirmation Control Key
EKPO,BSTYP,BSTYP,CHAR,Purchasing Document Category
EKPO,BUKRS,BUKRS,CHAR,Company Code
EKPO,BWTAR,BWTAR_D,CHAR,Valuation Type
EKPO,BWTTY,BWTTY_D,CHAR,Valuation Category
EKPO,CCOMP,MMPUR_CCOMP,CHAR,Posting Logic in the Case of Stock Transfers
EKPO,CHG_FPLNR,CHG_FPLNR,CHAR,No invoice for this item although not free of charge
EKPO,CHG_SRV,CHG_SRV,CHAR,Configuration changed
EKPO,CONS_ORDER,WRF_CONS_ORDER,CHAR,Purchase Order for Consignment
EKPO,CQU_SAR,CQU_SAR,QUAN,Cumulative Goods Receipts from Redirected Purchase Orders
EKPO,CUOBJ,CUOBJ,NUMC,Configuration (internal object number)
EKPO,DRDAT,DRDAT,DATS,Last Transmission
EKPO,DRUHR,DRUHR,TIMS,Time
EKPO,DRUNR,DRUNR,NUMC,Sequential Number
EKPO,EAN11,EAN11,CHAR,International Article Number (EAN/UPC)
EKPO,EBELN,EBELN,CHAR,Purchasing Document Number
EKPO,EBELP,EBELP,NUMC,Item Number of Purchasing Document
EKPO,EBON2,EBON2,CHAR,"Settlement Group 2 (Rebate Settlement, Purchasing)"
EKPO,EBON3,EBON3,CHAR,"Settlement Group 3 (Rebate Settlement, Purchasing)"
EKPO,EBONF,EBONY,CHAR,Item Relevant to Subsequent (Period-End Rebate) Settlement
EKPO,EFFWR,EFFWR,CURR,Effective value of item
EKPO,EGLKZ,EGLKZ,CHAR,"""Outward Delivery Completed"" Indicator"
EKPO,EHTYP,EHTYP,CHAR,External Hierarchy Category
EKPO,EILDT,EILDT,DATS,Start Date for GR-Based Settlement
EKPO,EKKOL,EKKOG,CHAR,Condition Group with Vendor
EKPO,ELIKZ,ELIKZ,CHAR,"""Delivery Completed"" Indicator"
EKPO,EMATN,EMATNR,CHAR,Material Number
EKPO,EMLIF,EMLIF,CHAR,Vendor to be supplied/who is to receive delivery
EKPO,EMNFR,EMNFR,CHAR,External manufacturer code name or number
EKPO,EMPST,EMPST,CHAR,Receiving point
EKPO,EREKZ,EREKZ,CHAR,Final Invoice Indicator
EKPO,ETDRK,ETDRK,CHAR,Indicator: Print-relevant schedule lines exist
EKPO,ETFZ1,ETFZ1,DEC,Firm Zone (Go-Ahead for Production)
EKPO,ETFZ2,ETFZ2,DEC,Trade-Off Zone (Go-Ahead for Materials Procurement)
EKPO,EVERS,EVERS,CHAR,Shipping Instructions
EKPO,EXCPE,EXCPE,NUMC,Acceptance Period
EKPO,EXLIN,EXLIN,CHAR,Item Number Length
EKPO,EXSNR,EXSNR,NUMC,External Sorting
EKPO,FABKZ,FABKZ,CHAR,Indicator: Item Relevant to JIT Delivery Schedules
EKPO,FFZHI,FFZHI,QUAN,Maximum Cumulative Production Go-Ahead Quantity
EKPO,FIPOS,FIPOS,CHAR,Commitment Item
EKPO,FISTL,FISTL,CHAR,Funds Center
EKPO,FKBER,FKBER,CHAR,Functional Area
EKPO,FPLNR,IPLNR,CHAR,Invoicing plan number
EKPO,GEBER,BP_GEBER,CHAR,Fund
EKPO,GEWEI,EGEWE,UNIT,Unit of Weight
EKPO,GNETWR,GNETWR,CURR,Currently not used
